Dealer,Eva,Jonas,Jochen,Erika,Solo
Eva,0,0,2,2,
Jonas,5,0,5,0,
Jochen,3,0,0,3,
Erika,5,0,0,5,
Eva,9,0,0,9,
Jonas,5,5,0,0,
Jochen,3,0,3,0,
Erika,0,2,0,2,
Eva,0,0,10,10,
Jonas,0,0,4,4,
Jochen,0,4,0,4,
Erika,0,4,4,0,
Eva,2,0,0,2,
Jonas,2,0,0,2,
Jochen,4,4,0,0,
Erika,0,3,0,3,
Eva,0,0,9,9,
Jonas,0,0,2,2,
Jochen,0,0,2,2,
Erika,3,3,0,3,Jochen
Erika,0,1,0,1,
Eva,5,0,5,0,
Jonas,0,5,0,5,
Jochen,10,10,0,0,
Erika,0,0,2,2,
Eva,0,0,2,2,
Jonas,5,5,0,5,Jochen
Jonas,0,0,1,1,
Jochen,4,0,4,0,
Erika,0,0,9,9,
Eva,0,0,2,2,
Jonas,0,0,3,3,
Jochen,0,3,0,3,
Erika,8,0,8,0,
